Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
30-01-2018,312.8500061,870.1040039,934.8301392,345.4580688,592.6640625,1336.049072,4324.421387,246.3311768,174.1367035,536.9838867
31-01-2018,312.75,854.8571167,946.5493164,345.8009338,592.6640625,1324.362915,4343.262695,242.6192017,173.7521973,528.2384644
01-02-2018,305.5499878,817.7236328,929.7583008,338.7467957,589.4680176,1361.01062,4352.682617,246.2864532,166.7029877,525.4151001
02-02-2018,296.8999939,808.7723389,891.9416504,328.0185852,564.2493286,1322.30603,4142.952148,246.241745,164.4386902,524.1296997
05-02-2018,297.7000122,790.3776855,890.7106323,324.932373,565.3978882,1274.019287,4103.484863,249.7748108,161.3627167,522.5689087
06-02-2018,291.5,767.1138916,879.1883545,324.0505981,563.4003296,1265.838867,4059.605225,244.8106232,158.6284332,508.8652954
07-02-2018,292.75,770.9995117,880.4193726,325.5202637,558.0070801,1245.87915,4047.160156,245.7497711,162.1744232,509.0031128
08-02-2018,301.4500122,787.5743408,889.8735352,327.7736511,567.7949219,1259.52832,4123.76416,244.7658997,161.106369,520.8473511
09-02-2018,296.3999939,784.2789307,884.3093872,320.1316223,556.8085327,1242.793945,4119.995605,242.6639099,160.4228058,510.4033508
12-02-2018,288.5,794.3615723,900.8049316,319.3968201,562.1019897,1263.081055,4165.611328,241.3670044,163.0715942,506.7306213
14-02-2018,276.7999878,801.0013428,918.236084,312.0976868,543.2753906,1269.297974,4135.564453,238.5941772,158.7993622,504.0909729
15-02-2018,278.8500061,802.7718506,919.8609619,321.9441528,543.0756226,1262.239624,4146.125488,239.9805756,160.9781799,511.4821472
16-02-2018,271.75,789.4923706,907.6986694,314.4981079,537.0830688,1241.485107,4125.20166,238.2364197,159.4401855,516.3942871
19-02-2018,267.6499939,791.3613892,911.7855225,313.273407,538.7809448,1212.316528,4076.5625,235.7319489,158.0303497,518.758606
20-02-2018,269.6499939,817.6253662,905.4335938,311.2159729,531.0405884,1206.42688,4097.931641,235.0611115,159.7819672,520.9161377
21-02-2018,273.1000061,809.4608765,914.2474976,312.83255,534.5362549,1199.602173,4100.658691,239.756958,162.4307556,527.3432617
22-02-2018,272.6000061,803.0178223,909.8651733,311.5588989,529.3426514,1207.174805,4069.471924,238.9519348,159.0984039,532.760376
23-02-2018,276.1000061,800.8538208,919.8117065,314.7919922,535.8845215,1217.55188,4081.321777,240.6514282,162.3453217,530.5338745
26-02-2018,274.75,806.5099487,924.3417969,320.3765564,551.6149902,1252.002441,4106.70752,238.4152832,162.9861603,523.8314819
27-02-2018,267.7999878,808.0836792,935.5194702,313.1754761,536.833374,1250.693848,4138.489258,238.1022491,160.9781799,527.1596069
28-02-2018,268.75,802.6244507,937.9814453,307.1499939,528.9431152,1233.211426,4119.251953,237.1183319,161.0636292,539.0727539
01-03-2018,262.5499878,797.1650391,933.3036499,299.0671387,525.4474487,1227.695435,4115.23584,235.7766724,161.9608002,532.6456299
05-03-2018,263.7999878,795.5911255,910.1606445,296.9606628,523.0005493,1216.991089,4056.084961,232.7802734,158.5002899,529.3632202
06-03-2018,256.5,792.8369141,897.0626831,289.1227417,516.1589966,1200.583496,4102.691406,229.4261017,158.2866669,526.4939575
